City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Washington,47.5001,-120.5015,33.8,84,99,2.28,overcast clouds
322,Quartucciu,39.2519,9.1794,48.45,93,0,6.91,clear sky
323,Andenes,69.3143,16.1194,35.58,87,75,9.22,light intensity drizzle
324,Durham,36.0335,-78.8664,34.5,86,1,0.0,clear sky
325,Chapais,49.7834,-74.8492,29.98,92,100,13.31,overcast clouds
326,Inhambane,-23.865,35.3833,85.98,74,40,16.11,scattered clouds
327,Tiksi,71.6872,128.8694,-22.31,100,98,0.6,overcast clouds
328,Boueni,-12.9025,45.0761,85.98,70,4,1.77,light rain
329,Ordynskoye,54.3656,81.8994,10.49,94,100,11.1,light snow
330,Souris,49.6172,-100.2612,27.73,90,100,7.09,overcast clouds
331,Kulachi,31.9286,70.4592,67.51,18,0,1.79,clear sky
332,Chadan,51.2833,91.5833,5.16,93,100,1.83,overcast clouds
333,Ust-Uda,54.1742,103.0304,14.38,82,100,8.59,overcast clouds
334,Maracacume,-2.0428,-45.9592,73.83,97,100,2.15,overcast clouds
335,Suntar,62.1444,117.6319,-17.46,96,100,5.99,overcast clouds
336,Jefferson City,38.5767,-92.1735,41.74,49,1,5.01,clear sky
337,Barkhan,29.8977,69.5256,59.07,22,0,4.18,clear sky
338,Emba,48.8264,58.1442,18.95,73,1,10.38,clear sky
339,Troitskoye,52.9821,84.6757,10.94,91,100,8.46,light snow
340,Clinton,42.587,-82.9199,41.67,65,100,1.01,overcast clouds
341,Bud,39.447,-86.1758,37.15,69,0,8.01,clear sky
342,Banepa,27.6298,85.5214,62.92,39,20,2.3,few clouds
343,Butterworth,5.3991,100.3638,87.85,66,20,7.0,few clouds
344,Ranong,9.9658,98.6348,87.73,64,52,11.79,broken clouds
345,Fonte Boa,-2.4959,-66.2662,74.71,94,100,1.92,overcast clouds
346,Airai,-8.9266,125.4092,71.19,77,71,1.5,broken clouds
347,Lake City,30.1897,-82.6393,61.0,94,75,0.0,broken clouds
348,Halifax,44.6453,-63.5724,39.2,68,1,5.01,clear sky
349,Ambon,-3.6954,128.1814,85.39,72,83,9.78,broken clouds
350,Guisa,20.255,-76.5386,71.91,95,17,4.14,few clouds
351,Koungou,-12.7336,45.2042,85.71,70,6,5.75,light rain
352,Lufilufi,-13.8745,-171.5986,74.98,73,16,11.83,light rain
353,Srivardhan,18.0333,73.0167,86.88,43,45,4.16,scattered clouds
354,Broken Hill,-31.95,141.4333,91.11,11,100,8.05,overcast clouds
355,Cherskiy,68.75,161.3,-25.13,89,100,0.67,overcast clouds
356,Qaqortoq,60.7167,-46.0333,19.9,78,100,8.68,light snow
357,Ontario,34.0633,-117.6509,52.54,68,40,4.61,scattered clouds
358,Hemnesberget,66.2333,13.6333,41.41,91,100,4.27,overcast clouds
359,Georgetown,5.4112,100.3354,87.75,66,20,7.0,few clouds
360,Pochutla,15.7432,-96.4661,73.81,64,0,3.36,clear sky
361,Okhotsk,59.3833,143.3,4.17,73,100,15.9,overcast clouds
362,Sigli,5.3848,95.9609,82.87,71,100,7.45,overcast clouds
363,Bichura,50.5881,107.6022,15.22,78,97,1.41,overcast clouds
364,Pitimbu,-7.4706,-34.8086,77.59,79,68,9.33,broken clouds
365,Marawi,7.9986,124.2928,73.65,87,100,4.36,light rain
366,Ust-Nera,64.5667,143.2,-29.87,100,100,2.57,overcast clouds
367,Yulara,-25.2406,130.9889,96.64,23,32,4.61,scattered clouds
368,Morondava,-20.2833,44.2833,85.5,66,6,7.9,clear sky
369,Santo Domingo,18.5001,-69.9886,76.03,83,1,5.01,clear sky
370,Saint-Francois,46.4154,3.9054,40.44,93,90,8.05,overcast clouds
371,Sawtell,-30.3833,153.1,77.32,66,25,14.97,scattered clouds
372,Shellbrook,53.2168,-106.4011,4.23,100,100,3.74,overcast clouds
373,Bull Savanna,17.8868,-77.5902,72.68,83,2,6.71,clear sky
374,Fortuna,40.5982,-124.1573,50.34,91,90,5.01,moderate rain
